"year","eligible"
1824,14.0119896155249
1828,21.0031858738418
1832,18.092870633645
1836,20.6956043301524
1840,17.5985436093892
1844,19.9872051743721
1848,23.1443245779291
1852,19.5779050096569
1856,22.029222320925
1860,18.1987019870407
1864,16.7515295903194
1868,22.4709544474954
1872,23.2723336064074
1876,26.4378796980266
1880,22.8298215106322
1884,25.57643666629
1888,28.1845272842372
1892,25.2524606605324
1896,27.7681131961777
1900,24.828754229934
1904,27.0378234750935
1908,29.7287706593905
1912,27.6279606059855
1916,32.5131999063293
1920,51.3047795691347
1924,56.0869991617903
1928,61.1374687079191
1932,56.8079776908118
1936,60.6935816934399
1940,60.3801924809713
1944,65.0206630415202
1948,70.7164171153316
1952,65.2569383209375
1956,67.715645460391
1960,60.2067235037915
1964,62.3827649588906
1968,64.9598652265665
1972,67.3989893563215
1976,73.2191424342608
1980,70.480327003812
1984,74.0371819843276
1988,76.5054366250098
1992,72.3063808990818
1996,74.8903172234867
2000,69.0892139209755
2004,72.2897520292282
2008,75.6832991945137
2012,71.0548014495481
2016,73.5221856239673
